#  l    m   clm               slm
  19    2  -3.5181844065e-14  1.2862338657e-13
  19    3  -2.9570899341e-13 -8.9435662100e-14
  19    4  -7.0033113196e-15  3.6002912300e-14
  19    5   1.8386069294e-13 -1.4646658792e-13
  19    6  -4.9211902563e-13  3.8138286428e-13
  19    7   7.4416316181e-14 -2.9870951121e-15
  19    8  -3.2522776012e-13 -1.5058555218e-13
  19    9  -2.1902384467e-13  2.1000018751e-13
  19   10   7.4848806269e-14  1.0690887688e-13
  19   11   1.2835070800e-13 -1.0521353600e-13
  19   12   1.0989798706e-14 -1.1881938914e-13
  19   13  -8.3977632538e-14 -2.6919423352e-14
  19   14   2.3579425996e-15 -1.1174552592e-14
  19   15   4.7327065920e-14 -6.5000794717e-14
  19   16  -1.1330972995e-14 -8.8700602539e-15
  19   17   2.5012027521e-14 -8.6396450104e-15
  19   18   3.2327069243e-15  3.9150538900e-15
  19   19   9.1075035691e-15  7.4902917133e-15
  20    0  -4.0700506072e-13 -0.0000000000e+00
  20    1   3.0692189654e-13  6.6405880144e-14
  20    2   4.6758616287e-13  3.9372063547e-13
  20    3  -1.3210243669e-14  7.6860516959e-14
  20    4   8.9400695931e-14  9.1102852694e-14
  20    5  -1.2827592889e-13 -3.3216080661e-13
  20    6  -1.5173560572e-13 -1.4684644015e-13
  20    7  -1.3353313391e-13  1.1006301500e-13
  20    8  -4.1333420618e-13 -2.0068720577e-13
  20    9  -1.5933884331e-13  1.4811720653e-13
  20   10   1.0450273837e-13  1.1280506805e-13
  20   11   1.8056337498e-13 -1.0218248235e-13
  20   12  -9.5030356547e-14 -1.9257648910e-13
  20   13  -5.2968336721e-14 -2.8770577839e-14
  20   14  -7.8698099451e-15  6.7693990997e-14
  20   15   6.6019517010e-15 -5.4657064694e-14
  20   16   6.0146893774e-15 -1.2236121387e-16
  20   17  -3.3897874979e-14  2.5577838342e-14
  20   18  -6.9115122114e-15 -1.2954489968e-14
  20   19  -2.7255343330e-14  5.2814040293e-14
  20   20   7.7481918944e-15 -2.5276018513e-14
  21    0  -1.8217254761e-13 -0.0000000000e+00
  21    1  -1.5633750705e-13 -3.8281761460e-13
  21    2  -2.6159639355e-14 -8.5873498405e-15
  21    3   8.8787799169e-14 -2.6816540878e-13
  21    4  -3.3621846009e-14 -1.3879664997e-13
  21    5   3.3415518441e-13 -3.6287330263e-13
  21    6  -3.8680865844e-13  1.1586347602e-14
  21    7  -1.2547487569e-13 -4.8516721384e-14
  21    8  -3.2912951360e-13 -1.6888438580e-13
  21    9  -3.0468447801e-13  2.2704529796e-13
  21   10   1.4886557477e-13  2.2975008465e-14
  21   11   1.9385354790e-13 -1.8330141562e-13
  21   12  -8.0269666623e-14 -2.1183317800e-13
  21   13  -1.5355876025e-13  2.5346757647e-14
  21   14   4.4483751086e-14  4.9976740941e-14
  21   15   5.4889303721e-14  1.4607355337e-14
  21   16   3.8484081972e-14 -3.3891965437e-14
  21   17  -5.4991406782e-15  1.3647781755e-14
  21   18   2.6392171438e-14 -3.3880002092e-14
  21   19  -5.0509473727e-14 -1.1586357582e-14
  21   20  -5.0967130405e-14  2.6302878081e-14
  21   21   8.7081013144e-15 -3.5145611681e-14
  22    0  -5.9504615826e-13 -0.0000000000e+00
  22    1   7.7800298313e-14 -3.1711925883e-13
  22    2   1.5603773482e-13  1.2040963506e-13
  22    3   1.8773458140e-13  1.7582472439e-13
  22    4   2.4694930001e-14 -1.1593627019e-13
  22    5  -4.6011888057e-14 -3.7640917803e-13
  22    6  -5.9990365565e-14 -4.7994985923e-13
  22    7  -2.4881533086e-13  8.4760622277e-14
  22    8  -4.0217285108e-13 -1.3187614702e-13
  22    9  -1.5345320415e-13  1.4784627769e-13
  22   10   1.0406479701e-13  5.1850253499e-14
  22   11   1.2762393215e-13 -1.8431582396e-13
  22   12  -1.0628859317e-13 -2.3990498792e-13
  22   13  -1.6388365002e-13  2.0526669124e-14
  22   14   6.5401404232e-14  1.2996361054e-13
  22   15   6.3792904739e-14 -2.7141934042e-14
  22   16   1.1215236304e-14 -6.6815124005e-14
  22   17   5.0703988417e-15  2.0026931130e-14
  22   18   2.8976398989e-14  4.3660785255e-16
  22   19   3.3349750580e-14 -3.5081968174e-14
  22   20  -2.2735549878e-14  2.7389625790e-14
  22   21  -4.9039649146e-15 -2.9551349155e-15
  22   22   6.9793027815e-15  4.1556393444e-16
  23    0  -1.8895314603e-13 -0.0000000000e+00
